brand,priority,source_tasks,asins,asin_count,product_lines,monthly_sales_max,unavailable_asins,legacy_evidence_count,sample_titles
Zarcaco,medium,ASIN 竞手雷达;Vlogging 竞手价格监控,B0F1SDJC4Z;B0GD6D143Z,2,auto_face_tracking;light_kit;phone_tripod;selfie_stick;vlogging_kit,200,,0,"Zarcaco Professional Vlogging Kit for iPhone/Android, 70”Auto Face Tracking Tripod for iPhone with Light, 25H Battery Life Wireless Microphones,Content Creator Kit for TikTok/YouTube Starter || 70"" Auto Face Tracking Tripod for iPhone,360 Rotation Face Tracking Tripod with Stand,Travel Selfie Stick with Remote and Light,Applied to Tiktok YouTube Vlog Video Recording || Professional Vlogging Kit for iPhone/Android, 70”Auto Face T"
Acer,watch,ASIN 竞手雷达,B0F6Y6RXVN,1,auto_face_tracking;light_kit;phone_tripod;selfie_stick,,,0,"Acer Gadget Auto Face Tracking Tripod for iPhone/Cell Phone/Android/Camera with Light and Remote, 64”, No App, 360°Rotating Tripod Selfie Stick for Tiktok YouTube Vlog Live Streaming Video Recording"
ATUMTEK,watch,ASIN 竞手雷达,B0GJ3W2WQN,1,phone_tripod;selfie_stick,,,0,"ATUMTEK Selfie Stick Tripod, Extendable 3 in 1 Aluminum Bluetooth Selfie Stick with Wireless Remote and Tripod Stand for iPhone 16/15/14/13/12/11 Pro Max/XS Max/XS/XR/X/8/7, Samsung Smartphones"
BEFAME,watch,Vlogging 竞手价格监控,B0F5Q1JXBW,1,auto_face_tracking;vlogging_kit,50,,0,"Vlogging Kit for iPhone/Android, 63” Auto Face Tracking Trip"
BRDOOGU,watch,Vlogging 竞手价格监控,B0GBKYH7YX,1,auto_face_tracking;phone_tripod;vlogging_kit,200,,0,"71"" Vlogging Kit Auto Face Tracking Tripod with 2 Light & 2"
Ceroray,watch,Vlogging 竞手价格监控,B0GGHR4393,1,phone_tripod;selfie_stick;vlogging_kit,,B0GGHR4393,0,"Vlogging Kit for iPhone/Android, 67” Selfie Stick Tripod wit"
DJI,watch,ASIN 竞手雷达,B07FSS4R16;B0GXW2BG8C,2,phone_tripod;selfie_stick;unknown,,,0,"DJI Osmo Mobile 7 Gimbal Stabilizer for iPhone, Android, Built-in Tripod, Portable Stabilizer for iPhone, Selfie Stick, 3-Axis Phone Gimbal, ActiveTrack 7.0, One-Tap Edit, 10hrs Use, Phone Charging || DJI Osmo Mobile Gimbal Stabilizer for Phone"
Euoto,watch,ASIN 竞手雷达,B0FQ9ZS2SM,1,auto_face_tracking;phone_tripod;selfie_stick,,,0,Auto Face Tracking Selfie Stick Tripod for iPhone
Heliora,watch,Vlogging 竞手价格监控,B0FN7Q7T67,1,auto_face_tracking;vlogging_kit,,,0,"Vlogging Kit for iPhone/Android, 70”Auto Face Tracking Tripo"
HUGSEE,watch,Vlogging 竞手价格监控,B0GDCQ234T,1,vlogging_kit,100,,0,"Content Creator Starter Kit,Vlogging Kit for iPhone/Android,"
jiangler,watch,ASIN 竞手雷达,B0H1VXDMDP,1,auto_face_tracking;phone_tripod,,,0,"Tripod Heads for Cell Phones, 360° Auto Tracking, Professional Photo and Video Kit"
KraftGeek,watch,ASIN 竞手雷达,B0FGD1HYD6,1,magnetic;phone_tripod;selfie_stick,,,0,"KraftGeek Magnetic Phone Tripod for iPhone MagSafe – 66’’ Automatic Selfie Stick with Remote, Portable Tripod Stand for Video Recording, Travel, Vlogging"
Liphisy,watch,ASIN 竞手雷达,B0CRDP2QH9;B0DVLXMTQG,2,phone_tripod;selfie_stick,,,0,"Liphisy Complete Tripod || Selfie Stick Travel Tripod for Cell Phone with Remote Control and Phone Holder, Extendable Selfie Stick for iPhone, iPhone Tripod for Video Recording"
LUME CUBE,watch,ASIN 竞手雷达,B0CHPQCJSC,1,phone_tripod;vlogging_kit,,,0,"LUME CUBE Content Kit 2.0 - Portable Selfie Phone Grip with Adjustable Tripod Stand, LED Light & Built-in Audio Mic - Selfie Mobile Lighting Kit for Creators"
Movo,watch,ASIN 竞手雷达,B0CV64GBVS;B0CVHX2HCJ;B0FZWNLVX1,3,phone_tripod;vlogging_kit,,,0,"Movo iVlogger-PRO Vlogging Kit with Full Tripod for iPhone/Android - USB-C/Lightning YouTube Starter Kit for Content Creators || Movo iVlogger Vlogging Kit for iPhone with Fullsize Tripod - Lightning Compatible YouTube Starter Kit for Content Creators - Accessories: Tripods, Phone Mount, LED Light and Shotgun Mic || Movo iVlogger Vlogging Kit for iPhone - Lightning Compatible YouTube Starter Kit for Content Creators - Accessories: Phone Tripod, Phone Mount, LED Light and Shotgun Microphone"
MQOUNY,watch,ASIN 竞手雷达,B0DYDB3ZFV,1,magnetic;phone_tripod;selfie_stick,,,0,"MQOUNY for Magsafe Tripod Stand for iPhone,Portable Pocket Size Selfie Stick with Rechargeable Remote and Metal Ring,Extendable Detachable Cell Phone Tripod Compatible with iPhone/Android"
NEEWER,watch,ASIN 竞手雷达,B0FQ2TD1Y6,1,selfie_stick,,,0,NEEWER Selfie Stick
Ocwqp,watch,ASIN 竞手雷达,B0GV3BQS8W,1,auto_face_tracking;phone_tripod;selfie_stick,,,0,"Auto Face Tracking Tripod for iPhone, Selfie Stick Phone Stand"
Pnitri,watch,ASIN 竞手雷达,B0CQJVXT74,1,light_kit;phone_tripod;selfie_stick,,,0,"Selfie Stick Tripod with Light, Selfie Stick Tripod with Wireless Remote"
RISEOFLE,watch,ASIN 竞手雷达,B0F7XDXD69,1,phone_tripod;selfie_stick,,,0,"71” Phone Tripod & Selfie Stick, Portable All in One Extendable Cell Phone Tripod Stand, with Wireless Remote Control for iPhone/Samsung/Android/Camera"
SelfieShow,watch,ASIN 竞手雷达,B0BDZ27CGQ;B0CRYTX9YX,2,auto_face_tracking;phone_tripod;selfie_stick,,,0,"Selfie Stick Phone Tripod with Wireless Remote, Extendable Cell Phone Stand for iPhone & Android, 360 Rotation || Selfie Stick, Extendable Selfie Stick Tripod with Wireless Remote and Tripod Stand, Portable, Lightweight, Compatible with iPhone 14 13 12 Pro Xs Max Xr X 8Plus 7, Samsung Smartphone and More"
TODI,watch,ASIN 竞手雷达,B0FB94JGT7,1,phone_tripod;selfie_stick,,,0,"TODl Tripod for iPhone, Selfie Stick & Phone Tripod"
UBeesize,watch,ASIN 竞手雷达,B0DPYNH1DZ,1,magnetic;phone_tripod,,,0,UBeesize Magnetic Tripod
